                        Nombre_de_la_prueba: MF1-1:1

  Datos_de_entrada
  b      15.0000     lm      96.0000    hc     15.0000
  fpc      280.000
 tipo_acero: G42RB                                              rho     9.844748E-04
      Datos del acero
  diámetro      núm._de_barras         profundidad
     0.950000         1.00000         7.50000
     0.950000         1.00000         88.5000
 altura_ini_fin_mod      7.50000         88.5000

 datos_estribos

 Criterios_de_iteración
 iter_máx_para_C     1000.00     núm.de_fibras:      2000.00

                 Resultados

                          Criterio_falla_concreto_NO_confinado
  Momento         Carga_axial             eje_Neutro              phi

      3542.18         12.0512         75.0003        4.319648E-06
      3527.77         11.9745         74.9003        4.299176E-06
      3508.71         11.8744         74.8003        4.278897E-06
      3494.54         11.7990         74.7003        4.258808E-06
      3475.77         11.7005         74.6003        4.238907E-06
      3461.82         11.6265         74.5003        4.219191E-06
      3443.34         11.5296         74.4003        4.199658E-06
      3429.62         11.4567         74.3003        4.180304E-06
      3411.42         11.3614         74.2003        4.161129E-06
      3397.90         11.2898         74.1003        4.142128E-06
      3379.98         11.1959         74.0003        4.123300E-06
      3366.67         11.1255         73.9003        4.104643E-06
      3353.45         11.0555         73.8003        4.086153E-06
      3335.92         10.9639         73.7003        4.067830E-06
      3322.91         10.8950         73.6003        4.049670E-06
      3305.65         10.8048         73.5003        4.031671E-06
      3292.82         10.7371         73.4003        4.013832E-06
      3275.81         10.6483         73.3003        3.996150E-06
      3263.19         10.5817         73.2003        3.978623E-06
      3246.43         10.4942         73.1003        3.961249E-06
      3233.98         10.4286         73.0004        3.944026E-06
      3221.64         10.3635         72.9004        3.926953E-06
      3205.22         10.2780         72.8004        3.910026E-06
      3193.04         10.2139         72.7004        3.893245E-06
      3176.87         10.1296         72.6004        3.876607E-06
      3164.87         10.0665         72.5004        3.860111E-06
      3148.94         9.98355         72.4004        3.843754E-06
      3137.10         9.92140         72.3004        3.827536E-06
      3125.35         9.85967         72.2004        3.811454E-06
      3109.73         9.77849         72.1004        3.795506E-06
      3098.15         9.71769         72.0004        3.779692E-06
      3082.75         9.63772         71.9004        3.764008E-06
      3071.34         9.57783         71.8004        3.748455E-06
      3056.15         9.49903         71.7004        3.733029E-06
      3044.90         9.44005         71.6004        3.717730E-06
      3033.70         9.38142         71.5004        3.702555E-06
      3018.83         9.30429         71.4004        3.687504E-06
      3007.79         9.24654         71.3004        3.672575E-06
      2993.12         9.17051         71.2004        3.657766E-06
      2982.23         9.11361         71.1004        3.643077E-06
      2971.41         9.05706         71.0004        3.628504E-06
      2957.02         8.98260         70.9004        3.614048E-06
      2946.35         8.92687         70.8004        3.599706E-06
      2932.17         8.85347         70.7004        3.585478E-06
      2921.64         8.79854         70.6004        3.571362E-06
      2911.16         8.74395         70.5004        3.557357E-06
      2897.25         8.67204         70.4004        3.543461E-06
      2886.92         8.61822         70.3004        3.529673E-06
      2873.19         8.54731         70.2004        3.515992E-06
      2863.00         8.49426         70.1004        3.502417E-06
      2852.86         8.44152         70.0004        3.488946E-06
      2839.39         8.37203         69.9004        3.475579E-06
      2829.39         8.32002         69.8004        3.462313E-06
      2816.11         8.25148         69.7004        3.449148E-06
      2806.23         8.20020         69.6004        3.436083E-06
      2796.41         8.14922         69.5004        3.423117E-06
      2783.37         8.08203         69.4004        3.410248E-06
      2773.68         8.03174         69.3004        3.397476E-06
      2764.04         7.98175         69.2004        3.384799E-06
      2751.24         7.91587         69.1004        3.372216E-06
      2741.71         7.86655         69.0004        3.359726E-06
      2729.09         7.80156         68.9004        3.347329E-06
      2719.68         7.75290         68.8004        3.335022E-06
      2710.33         7.70452         68.7004        3.322806E-06
      2697.93         7.64077         68.6004        3.310679E-06
      2688.70         7.59304         68.5004        3.298640E-06
      2679.51         7.54557         68.4004        3.286689E-06
      2667.34         7.48303         68.3004        3.274823E-06
      2658.26         7.43619         68.2004        3.263043E-06
      2649.24         7.38960         68.1004        3.251348E-06
      2637.29         7.32824         68.0004        3.239736E-06
      2628.37         7.28228         67.9004        3.228206E-06
      2616.56         7.22171         67.8004        3.216759E-06
      2607.76         7.17633         67.7004        3.205392E-06
      2598.99         7.13118         67.6004        3.194106E-06
      2587.39         7.07175         67.5004        3.182898E-06
      2578.74         7.02720         67.4004        3.171769E-06
      2570.13         6.98287         67.3004        3.160718E-06
      2558.73         6.92455         67.2004        3.149743E-06
      2550.22         6.88078         67.1004        3.138844E-06
      2541.75         6.83725         67.0004        3.128021E-06
      2530.55         6.77998         66.9004        3.117271E-06
      2522.19         6.73699         66.8004        3.106596E-06
      2513.86         6.69424         66.7004        3.095993E-06
      2502.85         6.63801         66.6004        3.085463E-06
      2494.63         6.59579         66.5005        3.075003E-06
      2486.43         6.55378         66.4005        3.064615E-06
      2475.62         6.49857         66.3005        3.054296E-06
      2467.52         6.45708         66.2005        3.044047E-06
      2459.47         6.41580         66.1005        3.033866E-06
      2451.44         6.37473         66.0005        3.023753E-06
      2440.87         6.32080         65.9005        3.013708E-06
      2432.95         6.28023         65.8005        3.003729E-06
      2425.05         6.23987         65.7005        2.993815E-06
      2414.65         6.18689         65.6005        2.983967E-06
      2406.86         6.14701         65.5005        2.974184E-06
      2399.09         6.10734         65.4005        2.964464E-06
      2388.87         6.05529         65.3005        2.954808E-06
      2381.19         6.01609         65.2005        2.945214E-06
      2373.54         5.97710         65.1005        2.935683E-06
      2365.94         5.93824         65.0005        2.926213E-06
      2355.94         5.88738         64.9005        2.916804E-06
      2348.41         5.84902         64.8005        2.907455E-06
      2340.92         5.81085         64.7005        2.898166E-06
      2331.09         5.76085         64.6005        2.888936E-06
      2323.68         5.72313         64.5005        2.879765E-06
      2316.31         5.68559         64.4005        2.870652E-06
      2308.96         5.64823         64.3005        2.861596E-06
      2299.34         5.59935         64.2005        2.852598E-06
      2292.08         5.56242         64.1005        2.843655E-06
      2284.84         5.52566         64.0005        2.834769E-06
      2275.37         5.47762         63.9005        2.825938E-06
      2268.22         5.44129         63.8005        2.817162E-06
      2261.11         5.40512         63.7005        2.808440E-06
      2254.01         5.36914         63.6005        2.799772E-06
      2244.74         5.32214         63.5005        2.791157E-06
      2237.73         5.28656         63.4005        2.782595E-06
      2230.74         5.25114         63.3005        2.774086E-06
      2223.79         5.21589         63.2005        2.765628E-06
      2214.71         5.16993         63.1005        2.757222E-06
      2207.83         5.13506         63.0005        2.748867E-06
      2200.98         5.10037         62.9005        2.740562E-06
      2194.15         5.06584         62.8005        2.732307E-06
      2185.26         5.02085         62.7005        2.724102E-06
      2178.51         4.98670         62.6005        2.715946E-06
      2171.79         4.95270         62.5005        2.707839E-06
      2165.10         4.91887         62.4005        2.699780E-06
      2158.44         4.88517         62.3005        2.691769E-06
      2149.76         4.84137         62.2005        2.683805E-06
      2143.16         4.80806         62.1005        2.675888E-06
      2136.60         4.77488         62.0005        2.668018E-06
      2130.06         4.74187         61.9005        2.660194E-06
      2121.56         4.69899         61.8005        2.652415E-06
      2115.08         4.66633         61.7005        2.644682E-06
      2108.64         4.63382         61.6005        2.636994E-06
      2102.21         4.60144         61.5005        2.629351E-06
      2095.82         4.56921         61.4005        2.621751E-06
      2087.53         4.52744         61.3005        2.614196E-06
      2081.20         4.49556         61.2005        2.606684E-06
      2074.90         4.46382         61.1005        2.599215E-06
      2068.62         4.43221         61.0005        2.591789E-06
      2062.36         4.40075         60.9005        2.584405E-06
      2054.28         4.36004         60.8005        2.577063E-06
      2048.09         4.32892         60.7005        2.569762E-06
      2041.92         4.29792         60.6005        2.562503E-06
      2035.78         4.26705         60.5005        2.555284E-06
      2029.66         4.23632         60.4005        2.548107E-06
      2023.57         4.20572         60.3005        2.540969E-06
      2015.72         4.16624         60.2005        2.533872E-06
      2009.68         4.13596         60.1005        2.526813E-06
